Country,Name,Type,Comment,ICAO,Airfield Name
Austria,Fürstenfeld,Aerodrome,,LOGF,
Austria,Gmunden,Aerodrome,,LOGM,Mariazell
Austria,Goldeck Talstation,Aerodrome,,LOGT,Timmersdorf
Austria,Hofkirchen,Aerodrome,,LOLH,
Austria,Hohenems-Dornbirn,Aerodrome,,LOIH,Ahrenlohe
Austria,Glock Ferlach heliport,Heliport,,LOGF,Fuerstenfeld
Austria,Kapfenberg,Aerodrome,,LOGK,[H] Friesach/Deutsch-Ordens-Spital Kh
Austria,Kirchdorf-Micheldorf,Aerodrome,,LOKM,Mayerhofen
Austria,Krems-Langenlois,Aerodrome,,LOAG,Lienz Nikolsdorf
Austria,Kufstein-Langkampfen,Aerodrome,,LOIK,[H] Klagenfurt Ukh
Austria,Lanzen-Turnau,Aerodrome,,LOGL,Seitenstetten
Austria,Leoben-Timmersdorf,Aerodrome,,LOGT,Eferding
Austria,Lienz-Nikolsdorf,Aerodrome,,LOKL,
Austria,Ludesch heliport,Heliport,,LOLU,Gmunden
Austria,Mariazell,Aerodrome,,LOGM,
Austria,Mayerhofen,Aerodrome,,LOKM,
Austria,Niederöblarn,Aerodrome,,LOGO,
Austria,Nötsch im Gailtal,Aerodrome,,LOKN,Long Marston
Austria,Pinkafeld,Aerodrome,,LOGP,[H] Freistadt Lkh
Austria,Pöchlarn-Wörth,Aerodrome,,LOPW,[H] Wels Kh
Austria,Punitz-Güssing,Aerodrome,,LOGG,[H] Salzkammergut-Klinikum Gmunden Kh
Austria,Reutte-Höfen,Aerodrome,,LOIR,Florennes
Austria,Ried-Kirchheim,Aerodrome,,LOLK,
Austria,St. Andrä im Lavanttal,Aerodrome,,LOSA,
Austria,St. Donat–Mairist,Aerodrome,,LOKR,
Austria,St. Georgen am Ybbsfeld,Aerodrome,,LOLG,
Austria,St. Johann/Tirol,Aerodrome,,LOIJ,[H] St. Johann/Pongau
Austria,Scharnstein,Aerodrome,,LOLC,
Austria,Schärding-Suben,Aerodrome,,LOLS,[H] Schwarzach Kh
Austria,Schruns 'Sanatorium Dr. Schenk' heliport,Heliport,,LOSR,
Austria,Seitenstetten,Aerodrome,,LOLT,Gormanston (closed)
Austria,Spitzerberg,Aerodrome,,LOAS,
Austria,Stockerau,Aerodrome,,LOAU,[H] Landesklinik Tamsweg Kh
Austria,Trieben,Aerodrome,,LOGI,
Austria,Villach LKH heliport,Heliport,,LOVH,
Austria,Völtendorf,Aerodrome,,LOVT,
Austria,Vöslau,Aerodrome,,LOAV,Voeslau
Austria,Weiz-Unterfladnitz,Aerodrome,,LOGW,Zell am See
Austria,Wels,Aerodrome,,LOLW,Wels
Austria,Wiener Neustadt/Ost,Aerodrome,,LOAN,Wiener Neustadt Ost
Austria,Wolfsberg,Aerodrome,,LOKW,
Austria,heliport Wucher Zürs – Lech am Arlberg,Heliport,,LOWZ,Zell am See
Austria,Zell am See,Aerodrome,,LOWZ,Zell am See
Austria,Zwatzhof heliport,Heliport,,LOZW,
Austria,Langenlebarn,Aerodrome,Military only,LOXT,Tulln
Austria,Zeltweg,Aerodrome,Military only,LOXZ,Zeltweg
Poland,Poznań-Ławica,Airport,,EPPO,Lawica
Poland,Bydgoszcz,Airport,,EPBY,Szwederowo
Poland,Łódż-Lublinek,Airport,,EPLL,Lublinek
Poland,Świdnik k/Lublina,Airport,,EPSW,Swidnik Lotnisko
Poland,Kraków-Balice,Airport,,EPKK,Balice
Poland,Katowice-Pyrzowice,Airport,,EPKT,Pyrzowice
Poland,Wroclaw-Strachowice,Airport,,EPWR,Strachowice
Poland,Gdańsk-Rębiechowo,Airport,,EPGD,Lech Walesa
Poland,Rzeszów-Jasionka,Airport,,EPRZ,Jasionka
Poland,Warsaw-Okęcie,Airport,,EPWA,Warsaw Okecie - Frederic Chopin
Poland,Warsaw-Modlin,Airport,,EPMO,Modlin
Poland,Szczecin-Goleniów,Airport,,EPSC,Goleniow
Poland,Radom-Sadków,Airport,,EPRA,Radom
Poland,Mazury,Airport,,EPMA,Chocznia
Poland,Zielona Góra-Babimost,Airport,,EPZG,Babimost
Poland,Jelenia Góra,Airport,,EPJG,Jelenia Gora
Poland,Mielec,Airport,,EPML,Mielec
Poland,Zielona Góra–Przylep,Airport,,EPZP,Zielonagora Przylep
Poland,Gdynia-Kosakowo,Airport,,EPOK,Kosakowo
Poland,Kielce-Maslów,Airport,,EPKA,Kikity
Portugal,Porto Airport/Airport Sá Carneiro,Airport,,LPPR,Porto
Portugal,Lisboa Airport,Airport,,LPPT,Lisboa
Portugal,Faro Airport,Airport,,LPFR,Faro
Portugal,Beja Airport,Airport,,LPBJ,Beja
Portugal,Funchal Airport/International Airport of Madeira,Airport,Madeira,LPMA,Madeira
Portugal,Porto Santo Airport,Airport,Madeira,LPPS,Porto Santo
Portugal,Ponta Delgada Airport / Airport João Paulo II,Airport,Azores,LPPD,Ponta Delgada
Portugal,Santa Maria Airport,Airport,Azores,LPAZ,Santa Maria
Portugal,Civilian Air Terminal of Lajes,Airport,Azores,LPLA,Lajes
Romania,Henri Coandă Bucharest,Airport,,LROP,Bucarest Otopeni Intl
Romania,Cluj-Napoca,Airport,,LRCL,Cluj Napoca
Romania,Sibiu,Airport,,LRSB,Sibiu
Romania,Traian Vuia Timișoara,Airport,,LRTR,Traian Vuia
Romania,Transilvania Târgu Mureş,Airport,,LRTM,Transilvania Targu Mures
Romania,George Enescu Bacău,Airport,,LRBC,Bacau
Romania,Mihail Kogălniceanu Constanța,Airport,,LRCK,Constanta - Mihail Kogalniceanu
Romania,Satu Mare,Airport,,LRSM,Satu Mare
Romania,Suceava,Airport,,LRSV,Stefan Cel Mare
Romania,Iaşi,Airport,,LRIA,Iasi
Romania,Arad,Airport,,LRAR,Arad
Romania,Baia Mare,Airport,,LRBM,Tautii Magheraus
Romania,Craiova,Airport,,LRCV,Craiova
Romania,Tulcea,Airport,,LRTC,Cataloi
Romania,Aurel Vlaicu Bucharest Băneasa,Airport,,LRBS,Bucarest Baneasa
Romania,Oradea,Airport,,LROD,Oradea
Romania,Braşov,Airport,,LRBV,Brasov-Ghimbav
Slovenia,Ljubljana–Brnik,Airport,,LJLJ,Ljubljana
Slovenia,Maribor–Slivnica,Airport,,LJMB,Maribor
Slovenia,Portorož–Portorose,Airport,,LJPZ,Portoroz
Slovakia,Bratislava Airport,Airport,,LZIB,Bratislava Mr Stefanik
Slovakia,Košice Airport,Airport,,LZKZ,Kosice
Slovakia,Poprad Airport,Airport,,LZTT,Tatry
Slovakia,Nitra,Aerodrome,,LZNI,Nitra
Slovakia,Piešťany,Aerodrome,,LZPP,Piestany
Slovakia,Prievidza,Aerodrome,,LZPE,
Slovakia,Sliač,Aerodrome,,LZSL,Sliac
Slovakia,Žilina,Aerodrome,,LZZI,Zilina
Slovakia,Jasná,Aerodrome,,LZJS,Jasna
Finland,Enontekiö,Airport,,EFET,Enontekio
Finland,Helsinki-Hernesaari,Airport,Helicopter only,EFHF,Helsinki Malmi
Finland,Helsinki-Vantaa,Airport,,EFHK,Helsinki Vantaa
Finland,Ivalo,Airport,,EFIV,Ivalo
Finland,Joensuu,Airport,,EFJO,Joensuu
Finland,Jyväskylä,Airport,,EFJY,Jyvaskyla
Finland,Kajaani,Airport,,EFKI,Kajaani
Finland,Kemi - Tornio,Airport,,EFKE,Kemi Tornio
Finland,Kittilä,Airport,,EFKT,Kittila
Finland,Kokkola - Pietarsaari,Airport,,EFKK,Kruunupyy
Finland,Kuopio,Airport,,EFKU,Kuopio
Finland,Kuusamo,Airport,,EFKS,Kuusamo
Finland,Lappeenranta,Airport,,EFLP,Lappeenranta
Finland,Mariehamn,Airport,,EFMA,Mariehamn
Finland,Mikkeli,Airport,,EFMI,Mikkeli
Finland,Oulu,Airport,,EFOU,Oulu
Finland,Pori,Airport,,EFPO,Pori
Finland,Rovaniemi,Airport,,EFRO,Rovaniemi
Finland,Savonlinna,Airport,,EFSA,Savonlinna
Finland,Seinäjoki,Airport,,EFSI,Seinajoki
Finland,Tampere-Pirkkala,Airport,,EFTP,Tampere Pirkkala
Finland,Turku,Airport,,EFTU,Turku
Finland,Vaasa,Airport,,EFVA,Vaasa
Sweden,Arlanda,Airport,,ESSA,Stockholm Arlanda
Sweden,Arvidsjaur,Airport,,ESNX,Arvidsjaur
Sweden,Bromma,Airport,,ESSB,Bromma
Sweden,Dala Airport,Airport,,ESSD,Borlange
Sweden,Göteborg/Landvetter,Airport,,ESGG,Goteborg Landvetter
Sweden,Halmstad,Airport,,ESMT,
Sweden,Jönköping,Airport,,ESGJ,Jonkoping
Sweden,Kalmar,Airport,,ESMQ,Kalmar
Sweden,Karlstad,Airport,,ESOK,Karlstad
Sweden,Kiruna,Airport,,ESNQ,Kiruna
Sweden,Kristianstad-Everöd,Airport,,ESMK,
Sweden,Linköping,Airport,,ESSL,Linkoping Saab
Sweden,Luleå-Kallax,Airport,,ESPA,Lulea Kallax
Sweden,Malmö-Sturup,Airport,,ESMS,Malmo Sturup
Sweden,Norrköping,Airport,,ESSP,
Sweden,Pajala-Ylläs Airport,Airport,,ESUP,Pajala
Sweden,Ronneby/Kallinge,Airport,,ESDF,Ronneby
Sweden,Skellefteå,Airport,,ESNS,Skelleftea
Sweden,Skövde,Airport,,ESGR,Skovde
Sweden,Stockholm-Skavsta,Airport,,ESKN,Stockholm Skavsta
Sweden,Sundsvall-Härnösand,Airport,,ESNN,Sundsvall Harnosand/Midlanda
Sweden,Sälen,Airport,,ESNL,Lycksele
Sweden,Trollhättan/Vänersborg,Airport,,ESGT,Trollhattan Vanersborg
Sweden,Umeå,Airport,,ESNU,Umea
Sweden,Visby,Airport,,ESSV,Visby
Sweden,Västerås-Hässlö,Airport,,ESOW,Vasteras
Sweden,Växjö,Airport,,ESMX,Vaxjo Kronoberg
Sweden,Ängelholm,Airport,,ESTA,Angelholm
Sweden,Örebro,Airport,,ESOE,Orebro
Sweden,Örnsköldsvik,Airport,,ESNO,Ornskoldsvik
Sweden,Östersund,Airport,,ESNZ,Are Ostersund
Iceland,Akureyri,Airport,,BIAR,Akureyri
Iceland,Egilsstaðir,Airport,,BIEG,Egilsstadir
Iceland,Keflavík,Airport,,BIKF,Keflavik Nas
Iceland,Reykjavík,Airport,,BIRK,Reykjavik
Norway,Gardermoen,Airport,,ENGM,Oslo Gardermoen
Norway,Fagernes,Airport,,ENFG,Leirin
Norway,Geilo,Airport,,ENDI,Sprengisandur
Norway,Sandefjord,Airport,,ENTO,Torp
Norway,Skien,Airport,,ENSN,Geiteryggen
Norway,Notodden,Airport,,ENNO,Notodden
Norway,Kristiansand,Airport,,ENCN,Kjevik
Norway,Sola,Airport,,ENZV,Stavanger Lufthavn Sola
Norway,Haugesund,Airport,,ENHD,Haugesund Lufthavn Karmoy
Norway,Leirvik,Airport,,ENLE,Ekofisk L (Offshore Helideck)
Norway,Bergen indre,Airport,,ENBR,Bergen Lufthavn Flesland
Norway,Ålesund,Airport,,ENAL,Vigra
Norway,Molde,Airport,,ENML,Aro
Norway,Moss Lufthavn Rygge,Airport,,ENRY,Rygge
Norway,Kristiansund,Airport,,ENKB,Kvernberget
Norway,Ørland,Airport,,ENOL,Orland
Norway,Røros,Airport,,ENRO,Roros
Norway,Stjørdal,Airport,,ENSTJ,
Norway,Bodø,Airport,,ENBO,Bodo
Norway,Narvik,Airport,,ENNK,Narvik Framnes
Norway,Sortland,Airport,,ENSO,Sorstokken
Norway,Bardufoss,Airport,,ENDU,Bardufoss
Norway,Tromsø,Airport,,ENTC,Tromso Langnes
Norway,Alta,Airport,,ENAT,Alta
Norway,Lakselv,Airport,,ENLK,Leknes
Norway,Kirkenes,Airport,,ENKR,Hoybuktmoen
Switzerland,Basel-Mulhouse,Airport,,LFSB,Basle-Mulhouse
Switzerland,Berne-Belp,Airport,,LSZB,Bern-Belp
Switzerland,Buochs,Airport,Exceptional use only,LSZC,Buochs
Switzerland,Dübendorf,Airport,Exceptional use only,LSMD,Duebendorf
Switzerland,Emmen,Airport,Exceptional use only,LSME,Emmen
Switzerland,Geneva-Cointrin,Airport,,LSGG,Geneve
Switzerland,Grenchen,Airport,,LSZG,Grenchen
Switzerland,La-Chaux-de-Fond-Les Eplatures,Airport,,LSGC,Les Eplatures
Switzerland,Lausanne-La Blécherette,Airport,,LSGL,Lausanne
Switzerland,Locarno-Magadino,Airport,,LSZL,Locarno
Switzerland,Lugano-Agno,Airport,,LSZA,Lugano
Switzerland,Payerne,Airport,,LSMP,Payerne
Switzerland,Saanen,Airport,Exceptional use only,LSGK,Saanen
Switzerland,Samedan,Airport,,LSZS,Samedan
Switzerland,Sion,Airport,,LSGS,Sion
Switzerland,St Gallen - Altenrhein SG,Airport,,LSZR,St.Gallen-Altenrhein
Switzerland,St. Stephan,Airport,Exceptional use only,LSTS,St.Stephan
Switzerland,Zurich,Airport,,LSZH,Zurich
